Date,BOLL,CCI,DMA,KDJ,MTM,MACD,SAR
2000-04-13,1754.7072,104.0316,109.8059,87.2874,60.3490,39.3143,1794.6322
2000-04-14,1758.6041,121.2279,105.7783,89.2087,24.5240,39.1276,1802.1224
2000-04-17,1762.0660,-10.0629,98.8296,76.7826,-24.8380,35.4558,1840.1890
2000-04-18,1765.3206,-12.8088,97.3701,70.7292,-12.5660,33.6457,1838.9628
2000-04-19,1770.8345,86.7379,96.1693,74.2453,7.5360,33.0578,1837.7611
2000-04-20,1777.2021,128.0346,93.1527,82.5956,39.6990,33.6817,1778.8780
2000-04-21,1786.1843,115.2562,89.1482,81.1746,9.5160,33.3109,1780.2506
2000-04-24,1793.0611,84.9208,87.0128,78.6880,3.7330,32.3484,1783.3712
2000-04-25,1798.2234,46.1426,84.9863,75.3806,38.4110,30.9122,1786.3670
2000-04-26,1802.9332,59.2994,84.7380,72.8859,19.2840,29.3797,1789.2429
2000-04-27,1806.2557,-45.1845,78.9426,60.3272,-21.8800,25.7742,1792.0038
2000-04-28,1809.6818,-4.9950,75.8436,64.2890,-10.7060,25.0082,1794.2825
2000-05-08,1813.7641,78.7754,76.8115,64.2866,-4.4270,24.1483,1796.2267
2000-05-09,1814.9458,-68.4080,72.6389,47.7709,-30.7600,20.8063,1799.6273
2000-05-10,1813.4553,-234.4844,61.8816,32.6716,-80.7800,13.6472,1852.9030
2000-05-11,1810.9646,-241.4715,47.7889,23.0635,-108.7310,5.5979,1850.8452
2000-05-12,1807.4886,-188.3581,33.9627,16.7178,-86.2220,-1.0467,1845.5671
2000-05-15,1803.8102,-159.7299,20.6869,13.0634,-131.7340,-7.5187,1837.7365
2000-05-16,1800.8692,-111.1256,9.5946,14.8529,-112.0990,-10.9122,1826.3601
2000-05-17,1799.5118,-81.4372,-1.6965,16.2282,-81.2400,-13.3779,1815.8937
2000-05-18,1799.0248,-48.8592,-7.4363,24.1642,5.8480,-12.5137,1806.2647
2000-05-19,1797.8204,-8.3810,-14.0817,35.1919,53.7800,-10.1551,1797.4060
2000-05-22,1798.0066,60.9135,-18.1449,55.2704,104.1280,-4.4496,1719.8440
2000-05-23,1798.2379,84.8627,-18.3467,69.0217,127.4880,0.6567,1722.0657
2000-05-24,1799.5578,110.4930,-10.6555,78.1444,130.9550,6.5180,1726.6627
2000-05-25,1802.3800,129.7871,2.0429,85.4269,155.3060,13.0471,1734.7520
2000-05-26,1804.2288,122.3832,14.4525,88.2789,121.0800,17.9270,1746.4294
2000-05-29,1806.7320,121.8560,30.4711,91.8309,120.9200,23.0722,1760.8550
2000-05-30,1809.9017,92.8403,41.9219,89.1001,52.7350,25.1430,1777.6333
2000-05-31,1813.0194,82.3159,54.5759,89.7456,62.4790,27.8417,1795.9275
2000-06-01,1815.8955,86.2965,63.1518,91.8789,47.9950,30.3514,1811.6605
2000-06-02,1818.5579,88.0064,71.8410,94.5860,35.5460,32.9899,1825.1908
2000-06-05,1820.7897,77.5366,75.2797,85.8170,19.4750,33.3125,1839.7603
2000-06-06,1824.1800,83.2854,80.3222,88.2487,26.7960,35.2956,1856.0638
2000-06-07,1828.0862,114.0858,83.9843,89.9846,57.5600,37.2040,1869.4326
